product page URL,product name,product code,ingredient,CAS#,function
https://www.advantagechemical.com/products/laundry/iron-removing-sour,Iron Removing Sour,,Oxalic Acid,6153-56-6,Acidifier,
https://www.advantagechemical.com/products/first-aid-kits/large-first-aid-cabinet-w-medications,Large First Aid Cabinet with Medication,
https://www.advantagechemical.com/products/first-aid-kits/large-first-aid-cabinet,Large First Aid Cabinet,
https://www.advantagechemical.com/products/first-aid-kits/medium-first-aid-cabinet,Medium First Aid Cabinet,
https://www.advantagechemical.com/products/first-aid-kits/double-eyewash-station,Double Eyewash Station with 16oz. Bottles,
https://www.advantagechemical.com/products/first-aid-kits/bodily-fluid-spill-clean-up-kit,Bodily Fluid Spill Clean Up Kit – with PPE and CPR Pack,
https://www.advantagechemical.com/products/first-aid-kits/burn-care-kit,Burn Care Kit in a Hard-Shell Plastic Case,
https://www.advantagechemical.com/products/machines/adv-l-1x-l-1x16,ADV-L-1x / L-1×16,
https://www.advantagechemical.com/products/machines/adv-gw-100-gl-c,ADV-GW-100 / GL-C,
https://www.advantagechemical.com/products/machines/adv-glx,ADV-GLX,
https://www.advantagechemical.com/products/machines/adv-uc180,ADV-UC180,
https://www.advantagechemical.com/products/machines/adv-ah-c,ADV-AH / C,
https://www.advantagechemical.com/products/machines/adv-b,ADV-B,
https://www.advantagechemical.com/products/machines/adv-e,ADV-E,
https://www.advantagechemical.com/products/machines/adv-180,ADV-180,
https://www.advantagechemical.com/products/machines/adv-est-44-66,ADV-EST-44/66,
